"galaxy_id","optical_u","optical_g","optical_r","optical_i","optical_z","infrared_three_six","infrared_four_five","infrared_five_eight","infrared_eight_zero","infrared_J","infrared_K","radio_one_four","redshift_result"
"1","1","1","1","1","1","1","1","1","1","2","1","1","1"
"1","1","1","1","1","1","1","1","1","1","1","1","1","-1"
"sum","1","1","1","1","1","1","1","1","1","1","1","1","-1"
"yeah","1","1","1","1","1","1","1","1","1","1","1","1","-1"
"22asf","2","2","2","12","2","2","2","2","2","2","2","2","-1"
"2","2","2","2","2","2","2","2","2","2","2","2","2","-1"
"1","1","3","1","2","3","4","-15","5","16","6","6","6","-1"
"341","23","234","324","34","234","234","2342","4","234","324","234","1234","-1"
"1","1","3","1","2","4","5","6","7","8","9","","12","-1"
"234","234","23","123","234","321","2","3","23","123","23","123","23","-1"
"12","2","2","2","23","2","2","2","2","2","2","2","2","3.46154"
"1","1","1","1","1","1","1","1","1","1","1","1","1","12"
"12","12","12","12","12","12","12","12","12","12","12","12","12","144"
"11","11","11","11","11","11","11","11","11","11","11","11","11","132"
"10","10","10","10","10","10","10","10","10","10","10","10","10","120"
"9","9","9","9","9","9","9","9","9","9","9","9","9","108"
"8","8","8","8","8","8","8","8","8","8","8","8","8","96"
"7","7","7","7","7","7","7","7","7","7","7","7","7","84"
"6","6","6","6","6","6","6","6","6","6","6","6","6","72"
"5","5","5","5","5","5","5","5","5","5","5","5","5","60"
"4","4","4","4","4","4","4","4","4","4","4","4","4","48"
"3","3","3","3","3","3","3","3","3","3","3","3","3","36"
"2","2","2","2","2","2","2","2","2","2","2","2","2","24"
"1","1","1","1","1","1","1","1","1","1","1","1","1","12"
"12","12","12","12","12","12","12","12","12","12","12","12","12","-144"
"11","11","11","11","11","11","11","11","11","11","11","11","11","-132"
"10","10","10","10","10","10","10","10","10","10","10","10","10","-120"
"9","9","9","9","9","9","9","9","9","9","9","9","9","-108"
"8","8","8","8","8","8","8","8","8","8","8","8","8","-96"
"7","7","7","7","7","7","7","7","7","7","7","7","7","-84"
"6","6","6","6","6","6","6","6","6","6","6","6","6","-72"
"5","5","5","5","5","5","5","5","5","5","5","5","5","-60"
"4","4","4","4","4","4","4","4","4","4","4","4","4","-48"
"3","3","3","3","3","3","3","3","3","3","3","3","3","-36"
"2","2","2","2","2","2","2","2","2","2","2","2","2","-24"
"1","1","1","1","1","1","1","1","1","1","1","1","1","-12"
