"galaxy_id","optical_u","optical_g","optical_r","optical_i","optical_z","infrared_three_six","infrared_four_five","infrared_five_eight","infrared_eight_zero","infrared_J","infrared_K","radio_one_four","redshift_result"
"1","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"2","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"3","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"4","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"5","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"6","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"7","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"8","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"9","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"10","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"11","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"12","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
"13","1","1","1","1","1","1","1","1","1","1","1","1","0.92"
,,

